time_s,LB,UB,nodes
0.49982595443725586,2.0,1e+100,0
15.827663898468018,10.0,1e+100,0
45.81142592430115,10.0,18.0,0
56.4198899269104,11.0,18.0,0
68.69413590431213,11.0,18.0,0
90.38087296485901,11.0,18.0,0
106.43230485916138,11.0,18.0,0
120.85378885269165,11.0,18.0,0
133.04692196846008,11.0,18.0,0
169.494952917099,11.0,18.0,0
190.61350083351135,11.0,18.0,1
218.9000928401947,11.0,18.0,3
265.75454092025757,11.0,18.0,7
331.90616393089294,11.0,18.0,15
369.8256049156189,11.0,18.0,27
369.8396010398865,11.0,16.0,35
430.89641785621643,11.0,16.0,40
486.3604588508606,11.0,16.0,84
526.7476408481598,11.0,16.0,107
555.5803139209747,11.0,16.0,136
586.0289540290833,11.0,16.0,149
623.7775020599365,11.0,16.0,167
669.206197977066,11.0,16.0,180
703.7708919048309,11.0,16.0,196
743.4890189170837,11.0,16.0,214
779.5132319927216,11.0,16.0,227
814.9655079841614,11.0,16.0,239
849.8092448711395,11.0,16.0,254
896.1200129985809,11.0,16.0,271
941.0981459617615,11.0,16.0,291
986.2930989265442,11.0,16.0,314
1029.3665690422058,11.0,16.0,336
1069.8142728805542,11.0,16.0,366
1110.110013961792,11.0,16.0,406
1161.410080909729,11.0,16.0,436
1203.1201179027557,11.0,16.0,470
1241.3151829242706,11.0,16.0,506
1285.430107831955,11.0,16.0,551
1342.865583896637,11.0,16.0,600
1395.9519019126892,11.0,16.0,647
1450.1397819519043,11.0,16.0,701
1503.3527388572693,11.0,16.0,754
1566.9110720157623,11.0,16.0,791
1619.6681349277496,11.0,16.0,849
1672.5270709991455,11.0,16.0,916
1728.0313119888306,11.0,16.0,1004
1796.295028924942,11.0,16.0,1092
1863.6007850170135,11.0,16.0,1178
1937.3833620548248,11.0,16.0,1240
2023.1669569015503,11.0,16.0,1305
2110.080066919327,11.0,16.0,1387
2202.6807639598846,11.0,16.0,1471
2293.9756560325623,11.0,16.0,1535
2388.1781969070435,11.0,16.0,1599
2442.727054834366,11.0,16.0,1674
2517.5801119804382,11.0,16.0,1705
2612.084179878235,11.0,16.0,1751
2712.7817158699036,11.0,16.0,1840
2820.961863040924,11.0,16.0,1912
2934.4518868923187,11.0,16.0,2036
2934.4643318653107,12.0,16.0,2073
3060.706869840622,12.0,16.0,2202
3182.297441005707,12.0,16.0,2294
3314.108314037323,12.0,16.0,2464
3443.5564470291138,12.0,16.0,2550
3581.7887370586395,12.0,16.0,2682
3600.843640772975,12.0,16.0,2903
