time_s,LB,UB,nodes
1.2163009643554688,0.0,170.0,0
7.8380210399627686,4.0,170.0,0
28.48404812812805,4.0,6.0,0
40.645829916000366,4.0,6.0,0
76.39565992355347,4.0,6.0,0
101.49385809898376,4.0,6.0,0
111.628662109375,4.0,6.0,0
134.53679013252258,5.0,6.0,0
152.151869058609,5.0,6.0,1
176.40364408493042,5.0,6.0,7
193.56991410255432,5.0,6.0,12
209.327819108963,5.0,6.0,22
224.24037098884583,5.0,6.0,33
234.84703707695007,5.0,6.0,101
251.948224067688,5.0,6.0,138
259.2196969985962,6.0,6.0,160
260.68451111500326,6.0,6.0,161
