time_s,LB,UB,nodes
1.2668399810791016,0.0,295.0,0
7.285972833633423,6.0,295.0,0
28.129669904708862,6.0,295.0,0
52.98672389984131,6.0,9.0,0
76.79934883117676,6.0,9.0,0
114.6165099143982,6.0,9.0,0
202.23310780525208,6.0,9.0,0
241.649395942688,6.0,9.0,0
273.236065864563,6.0,9.0,0
295.85438895225525,6.0,9.0,0
345.4099600315094,6.0,9.0,0
365.96884298324585,6.0,9.0,1
385.3331048488617,6.0,9.0,3
411.02389192581177,6.0,9.0,6
495.3540439605713,6.0,9.0,13
521.1819748878479,6.0,9.0,24
567.3937690258026,6.0,9.0,35
609.9051020145416,6.0,9.0,57
653.5200619697571,6.0,9.0,91
696.002454996109,6.0,9.0,119
731.8411839008331,6.0,9.0,146
763.1920590400696,6.0,9.0,175
784.5010809898376,6.0,9.0,185
804.6083400249481,6.0,9.0,209
821.7984800338745,6.0,9.0,233
838.845428943634,6.0,9.0,264
854.9392099380493,6.0,9.0,289
875.8466548919678,6.0,9.0,317
896.0155558586121,6.0,9.0,330
915.605819940567,6.0,9.0,344
934.3807578086853,6.0,9.0,363
948.6691348552704,6.0,9.0,382
971.0421488285065,6.0,9.0,400
992.1894478797913,6.0,9.0,414
1009.559003829956,6.0,9.0,434
1037.7795088291168,6.0,9.0,468
1070.8493859767914,6.0,9.0,493
1104.313794851303,6.0,9.0,508
1138.5230679512024,6.0,9.0,528
1169.4451529979706,6.0,9.0,563
1200.0034608840942,6.0,9.0,609
1201.238745484996,6.0,9.0,655
