time_s,LB,UB,nodes
0.4024789333343506,0.0,1e+100,0
7.125849008560181,14.0,1e+100,0
23.01459789276123,14.0,27.0,0
29.469908952713013,15.0,27.0,0
32.04849982261658,15.0,26.0,0
38.86449885368347,16.0,26.0,0
44.32406282424927,17.0,26.0,0
54.495786905288696,17.0,26.0,0
64.50439095497131,17.0,26.0,0
74.6981840133667,17.0,26.0,0
84.8417580127716,17.0,26.0,0
95.79739499092102,17.0,26.0,0
106.12612986564636,17.0,26.0,0
116.39863181114197,17.0,26.0,0
126.73422193527222,17.0,26.0,0
137.00569891929626,17.0,26.0,0
147.05532002449036,17.0,26.0,1
168.3215479850769,17.0,26.0,7
189.07266402244568,17.0,26.0,15
207.89522886276245,17.0,26.0,27
249.34816789627075,17.0,26.0,39
272.9222068786621,17.0,26.0,62
289.163400888443,17.0,26.0,93
312.9504988193512,17.0,26.0,105
333.2457869052887,17.0,26.0,121
361.77615785598755,17.0,26.0,138
394.62702894210815,17.0,26.0,151
414.70263385772705,17.0,26.0,168
441.49596786499023,17.0,26.0,182
474.6394488811493,17.0,26.0,196
508.12535285949707,17.0,26.0,211
539.3408749103546,17.0,26.0,222
570.9288549423218,17.0,26.0,240
603.4875249862671,17.0,26.0,253
633.7586607933044,17.0,26.0,272
650.3139939308167,17.0,26.0,300
669.0289888381958,17.0,26.0,312
685.3799998760223,17.0,26.0,327
708.3983249664307,17.0,26.0,342
729.5291299819946,17.0,26.0,360
754.5298190116882,17.0,26.0,394
780.875855922699,17.0,26.0,438
814.742565870285,17.0,26.0,484
847.5079638957977,17.0,26.0,535
875.0028779506683,17.0,26.0,600
906.6863579750061,17.0,26.0,651
948.8692948818207,17.0,26.0,695
988.9286308288574,17.0,26.0,728
1024.2002098560333,17.0,26.0,759
1062.8646638393402,17.0,26.0,771
1103.976126909256,17.0,26.0,789
1141.3761749267578,17.0,26.0,802
1177.4268238544464,17.0,26.0,816
1200.0244100093842,17.0,26.0,830
1200.6391719790117,17.0,26.0,841
