time_s,LB,UB,nodes
1.1029880046844482,0.0,163.0,0
8.886035203933716,4.0,163.0,0
28.880083084106445,4.0,6.0,0
47.58846402168274,4.0,6.0,0
58.43004012107849,4.0,6.0,0
69.70925211906433,4.0,6.0,0
91.82438397407532,4.0,6.0,0
108.24490213394165,4.0,6.0,1
121.69002103805542,4.0,6.0,3
154.3004310131073,4.0,6.0,7
173.85080099105835,4.0,6.0,14
194.1816611289978,4.0,6.0,26
205.1399121284485,4.0,6.0,79
223.5065951347351,4.0,6.0,93
244.5752830505371,4.0,6.0,118
262.0692870616913,4.0,6.0,136
277.7882950305939,4.0,6.0,163
290.13197207450867,4.0,6.0,188
300.58980798721313,4.0,6.0,221
316.9088931083679,4.0,6.0,314
326.9091970920563,4.0,6.0,410
338.16246819496155,4.0,6.0,438
354.4610221385956,4.0,6.0,508
372.61177110671997,4.0,6.0,552
383.07120299339294,4.0,6.0,579
400.534704208374,4.0,6.0,622
410.886027097702,4.0,6.0,661
433.5229971408844,4.0,6.0,755
448.7413589954376,4.0,6.0,799
463.03639006614685,4.0,6.0,841
474.5408010482788,4.0,6.0,878
485.17878818511963,4.0,6.0,917
502.9143371582031,4.0,6.0,983
522.0479440689087,4.0,6.0,1072
542.8733580112457,4.0,6.0,1142
562.6146450042725,4.0,6.0,1180
581.1104171276093,4.0,6.0,1261
598.4857740402222,4.0,6.0,1336
618.5718450546265,4.0,6.0,1440
642.1507110595703,4.0,6.0,1489
665.2466762065887,4.0,6.0,1579
688.8086140155792,4.0,6.0,1690
715.8451111316681,4.0,6.0,1784
739.4640810489655,4.0,6.0,1855
768.5546600818634,4.0,6.0,1958
798.7134160995483,4.0,6.0,2066
822.5578391551971,4.0,6.0,2207
848.4261140823364,4.0,6.0,2236
869.7216060161591,4.0,6.0,2330
896.2742021083832,4.0,6.0,2485
929.9667210578918,4.0,6.0,2638
929.9748771190643,5.0,6.0,2681
960.9891881942749,5.0,6.0,2773
994.9652390480042,5.0,6.0,3020
1027.364490032196,5.0,6.0,3334
1059.6879651546478,5.0,6.0,3685
1085.7812831401825,5.0,6.0,4152
1106.22554397583,5.0,6.0,4871
1124.3403470516205,5.0,6.0,5805
1142.422451019287,5.0,6.0,6326
1158.8143241405487,5.0,6.0,7130
1176.7099921703339,5.0,6.0,7904
1186.790199995041,5.0,6.0,8869
1197.5710890293121,5.000000000000019,6.0,9552
1199.0112208790015,6.0,6.0,9556
