time_s,LB,UB,nodes
0.11744999885559082,0.0,387.0,0
0.2829909324645996,1.0,387.0,0
1.6533830165863037,1.0,24.0,0
2.312440872192383,3.0,23.0,0
2.684999942779541,3.0,21.0,0
2.8201608657836914,4.0,20.0,0
4.404442071914673,5.0,20.0,0
4.784430027008057,6.0,20.0,0
6.885930061340332,8.0,20.0,0
9.584541082382202,9.0,20.0,0
11.369241952896118,10.0,20.0,0
15.85145902633667,12.0,20.0,0
26.054504871368408,12.0,20.0,0
30.791208028793335,13.0,20.0,12
41.821815967559814,13.0,20.0,91
52.84312987327576,13.0,20.0,202
63.884443044662476,13.0,20.0,327
75.13243794441223,13.0,20.0,470
86.32673501968384,13.0,20.0,694
97.7086660861969,13.0,20.0,1018
108.53992104530334,13.0,20.0,1357
120.70194697380066,13.0,20.0,1795
133.613098859787,13.0,20.0,2204
144.72935009002686,13.0,20.0,2558
158.42392492294312,13.0,20.0,3150
170.56308388710022,13.0,20.0,3418
181.6754550933838,13.0,20.0,3642
192.1324999332428,13.0,20.0,3651
203.92437505722046,13.0,20.0,3669
212.205384016037,14.0,20.0,3679
222.81480288505554,14.0,20.0,3688
233.31354188919067,14.0,20.0,3698
243.72244000434875,14.0,20.0,3708
254.466050863266,14.0,20.0,3719
257.39330291748047,15.0,20.0,3722
270.6975688934326,15.0,20.0,3760
282.97981905937195,15.0,20.0,3825
295.6686329841614,15.0,20.0,3894
307.71166586875916,15.0,20.0,3938
318.0323488712311,15.0,20.0,4005
329.083918094635,15.0,20.0,4076
340.68473386764526,15.0,20.0,4150
350.688658952713,15.0,20.0,4208
363.6882438659668,15.0,20.0,4258
374.9857540130615,15.0,20.0,4335
390.5068988800049,15.0,20.0,4453
402.23186802864075,15.0,20.0,4566
413.4756290912628,15.0,20.0,4689
425.6854739189148,15.0,20.0,4838
439.3225450515747,15.0,20.0,4998
455.4180979728699,15.0,20.0,5229
469.48865389823914,15.0,20.0,5408
485.3057019710541,15.0,20.0,5684
501.27355790138245,15.0,20.0,6037
517.9120149612427,15.0,20.0,6301
537.9322440624237,15.0,20.0,6819
558.666974067688,15.0,20.0,7276
569.9619960784912,15.0,20.0,7604
580.0446619987488,15.0,20.0,7901
591.7141199111938,15.0,20.0,8357
602.2579920291901,15.0,20.0,8645
614.2024788856506,15.0,20.0,9046
625.2333419322968,15.0,20.0,9449
636.8797359466553,15.0,20.0,10115
651.2223448753357,15.0,20.0,10780
663.6859250068665,15.0,20.0,11378
676.9312899112701,15.0,20.0,11918
692.3465790748596,15.0,20.0,12340
706.3285119533539,15.0,20.0,12791
722.5665068626404,15.0,20.0,13148
738.3410210609436,15.0,20.0,13541
753.4137990474701,15.0,20.0,13708
770.8575429916382,15.0,20.0,14216
786.3252949714661,15.0,20.0,14746
802.7434279918671,15.0,20.0,15210
819.5985600948334,15.0,20.0,15864
841.5311670303345,15.0,20.0,16549
861.4827160835266,15.0,20.0,17534
885.4745960235596,15.0,20.0,18332
903.9521839618683,15.0,20.0,19195
919.527421951294,15.0,20.0,20199
936.2027928829193,15.0,20.0,20856
951.4506769180298,15.0,20.0,22096
966.722382068634,15.0,20.0,22614
984.95481300354,15.0,20.0,23018
1003.6163709163666,15.0,20.0,23913
1021.3013670444489,15.0,20.0,25059
1041.7485539913177,15.0,20.0,25645
1061.8067829608917,15.0,20.0,26269
1083.7293338775635,15.0,20.0,26932
1109.1524920463562,15.0,20.0,27619
1109.1759679317474,16.0,20.0,28519
1132.280310869217,16.0,20.0,28679
1158.6793599128723,16.0,20.0,29260
1188.644294977188,16.0,20.0,30106
1200.003576040268,16.0,20.0,30650
1200.2299165430013,16.0,20.0,30834
