time_s,LB,UB,nodes
0.05552482604980469,0.0,529.0,0
0.05638003349304199,0.0,528.0,0
0.18105792999267578,6.0,528.0,0
0.4656078815460205,6.000000000000003,27.0,0
0.9355030059814453,9.0,27.0,0
2.614339828491211,10.0,27.0,0
3.944648027420044,11.0,27.0,0
4.473376989364624,12.0,27.0,0
5.907068967819214,12.0,26.0,0
6.311377048492432,13.0,26.0,0
8.305742025375366,14.0,26.0,0
16.737963914871216,15.0,26.0,24
27.066011905670166,15.0,26.0,853
37.50335383415222,15.0,26.0,2533
47.88501691818237,15.0,26.0,2547
51.465728998184204,16.0,26.0,2553
62.672080993652344,16.0,26.0,2567
73.14968585968018,16.0,26.0,2575
76.80480194091797,17.0,26.0,2580
86.93852090835571,17.0,26.0,2590
97.09485697746277,17.0,26.0,2601
107.38879799842834,17.0,26.0,2612
118.51050996780396,17.0,26.0,2628
128.54541087150574,17.0,26.0,2645
138.66633105278015,17.0,26.0,2652
148.8997139930725,17.0,26.0,2658
154.77345490455627,18.0,26.0,2663
165.36131191253662,18.0,26.0,2801
175.58020305633545,18.0,26.0,3016
185.6973910331726,18.0,26.0,3457
197.4765260219574,18.0,26.0,4072
209.26087403297424,18.0,26.0,4857
219.64188385009766,18.0,26.0,5645
229.8967399597168,18.0,26.0,6314
241.88666200637817,18.0,26.0,7081
252.77753496170044,18.0,26.0,7759
263.92654490470886,18.0,26.0,8550
271.89181089401245,19.0,26.0,9320
285.03912901878357,19.0,26.0,10015
299.1988079547882,19.0,26.0,11113
316.41063594818115,19.0,26.0,11592
327.3437418937683,19.0,26.0,12215
341.5455050468445,19.0,26.0,13014
355.1576609611511,19.0,26.0,13880
369.139447927475,19.0,26.0,14902
384.49614000320435,19.0,26.0,16002
401.08701491355896,19.0,26.0,17040
420.8906669616699,19.0,26.0,18238
437.9988269805908,19.0,26.0,19936
456.52521085739136,19.0,26.0,21093
467.94119787216187,19.0,26.0,21651
479.0456738471985,19.0,26.0,22609
490.3362019062042,19.0,26.0,23252
501.7133729457855,19.0,26.0,24133
514.5292928218842,19.0,26.0,24944
527.6920039653778,19.0,26.0,25869
540.5209009647369,19.0,26.0,26937
553.9129319190979,19.0,26.0,28026
568.4732849597931,19.0,26.0,29003
582.6920099258423,19.0,26.0,30011
598.6533620357513,19.0,26.0,31223
614.2221348285675,19.0,26.0,32259
629.8476438522339,19.0,26.0,33325
645.5786378383636,19.0,26.0,34448
698.296012878418,19.0,26.0,35809
708.3630249500275,19.0,26.0,35822
718.6240818500519,19.0,26.0,35831
730.5609810352325,19.0,26.0,35837
742.9124999046326,19.0,26.0,35843
753.4085638523102,19.0,26.0,35847
763.8922719955444,19.0,26.0,35852
775.3987948894501,19.0,26.0,35858
787.1346230506897,19.0,26.0,35865
798.561360836029,19.0,26.0,35871
808.687793970108,19.0,26.0,35878
820.1939718723297,19.0,26.0,35884
830.2415549755096,19.0,26.0,35891
841.0339529514313,19.0,26.0,35898
852.1824979782104,19.0,26.0,35906
862.4497380256653,19.0,26.0,35912
872.739462852478,19.0,26.0,35918
883.050940990448,19.0,26.0,35925
893.5251250267029,19.0,26.0,35930
903.6187839508057,19.0,26.0,35937
914.897392988205,19.0,26.0,35945
925.3675599098206,19.0,26.0,35950
937.4263069629669,19.0,26.0,35962
948.1766510009766,19.0,26.0,35970
956.1595480442047,20.0,26.0,35976
967.1310639381409,20.0,26.0,35982
977.1464350223541,20.0,26.0,35988
988.2376999855042,20.0,26.0,35995
1000.7072360515594,20.0,26.0,36001
1010.7829079627991,20.0,26.0,36007
1020.8661780357361,20.0,26.0,36011
1031.9048278331757,20.0,26.0,36017
1042.3497009277344,20.0,26.0,36025
1052.729497909546,20.0,26.0,36031
1063.0008528232574,20.0,26.0,36038
1073.395616054535,20.0,26.0,36043
1083.5336329936981,20.0,26.0,36051
1095.1725418567657,20.0,26.0,36057
1105.657770872116,20.0,26.0,36065
1115.8434898853302,20.0,26.0,36070
1126.358333826065,20.0,26.0,36074
1137.444454908371,20.0,26.0,36078
1147.725009918213,20.0,26.0,36086
1157.782548904419,20.0,26.0,36092
1167.8341829776764,20.0,26.0,36097
1202.8817129135132,20.0,26.0,36100
1223.2215650081635,20.0,26.0,36100
1233.3909928798676,20.0,26.0,36107
1245.5562779903412,20.0,26.0,36142
1256.9388418197632,20.0,26.0,36190
1270.7928638458252,20.0,26.0,36279
1281.9987280368805,20.0,26.0,36386
1293.931126832962,20.0,26.0,36531
1304.714504957199,20.0,26.0,36707
1315.1148369312286,20.0,26.0,36865
1330.1252369880676,20.0,26.0,37110
1340.4428629875183,20.0,26.0,37268
1354.4292418956757,20.0,26.0,37494
1354.4504179954529,21.0,26.0,37531
1366.3442668914795,21.0,26.0,37671
1377.1277129650116,21.0,26.0,37863
1388.8292918205261,21.0,26.0,38063
1402.465667963028,21.0,26.0,38305
1415.135349035263,21.0,26.0,38533
1426.1127619743347,21.0,26.0,38672
1439.597844839096,21.0,26.0,38697
1453.3110618591309,21.0,26.0,38752
1469.06036901474,21.0,26.0,38912
1486.8117699623108,21.0,26.0,39227
1497.744423866272,21.0,26.0,39416
1508.3148880004883,21.0,26.0,39580
1526.4990890026093,21.0,26.0,39948
1538.1234488487244,21.0,26.0,40172
1548.9958579540253,21.0,26.0,40409
1559.2361998558044,21.0,26.0,40586
1570.9191598892212,21.0,26.0,40841
1583.6407120227814,21.0,26.0,41058
1597.017863035202,21.0,26.0,41331
1612.348884820938,21.0,26.0,41602
1624.8427319526672,21.0,26.0,41828
1641.0306639671326,21.0,26.0,42072
1657.3708748817444,21.0,26.0,42416
1672.8843729496002,21.0,26.0,42799
1688.7543640136719,21.0,26.0,43284
1705.1512179374695,21.0,26.0,43653
1722.232570886612,21.0,26.0,44092
1738.6745479106903,21.0,26.0,44544
1757.7383420467377,21.0,26.0,44976
1776.6742079257965,21.0,26.0,45565
1794.942349910736,21.0,26.0,45995
1816.2085468769073,21.0,26.0,46438
1836.4260759353638,21.0,26.0,46974
1857.382112979889,21.0,26.0,47556
1878.1916689872742,21.0,26.0,48142
1900.2566168308258,21.0,26.0,48754
1921.8476040363312,21.0,26.0,49357
1945.9628779888153,21.0,26.0,50001
1971.1956129074097,21.0,26.0,50604
1996.938519001007,21.0,26.0,51316
1996.9515290260315,22.0,26.0,51666
2023.1208419799805,22.0,26.0,52017
2050.730787038803,22.0,26.0,52883
2083.233521938324,22.0,26.0,53695
2106.729768037796,22.0,26.0,54603
2135.2585139274597,22.0,26.0,55304
2164.710839033127,22.0,26.0,56061
2195.945734977722,22.0,26.0,56961
2227.478350877762,22.0,26.0,57774
2259.8068578243256,22.0,26.0,58605
2295.9094519615173,22.0,26.0,59458
2332.307054042816,22.0,26.0,60422
2369.7279720306396,22.0,26.0,61510
2409.071482896805,22.0,26.0,62588
2448.4690339565277,22.0,26.0,63595
2489.9241960048676,22.0,26.0,64758
2534.5863938331604,22.0,26.0,65844
2575.8661258220673,22.0,26.0,66965
2619.504446029663,22.0,26.0,68146
2663.401942014694,22.0,26.0,69311
2707.51811504364,22.0,26.0,70556
2754.920021057129,22.0,26.0,71723
2798.446552991867,22.0,26.0,73033
2841.412050962448,22.0,26.0,74247
2888.249130964279,22.0,26.0,75251
2934.2472989559174,22.0,26.0,76531
2979.6605010032654,22.0,26.0,77747
3024.067013025284,22.0,26.0,79010
3068.6905629634857,22.0,26.0,80339
3113.4241399765015,22.0,26.0,81436
