time_s,LB,UB,nodes
0.039604902267456055,2.0,1e+100,0
0.14284992218017578,12.0,1e+100,0
0.3306879997253418,13.0,43.0,0
0.39209699630737305,14.0,43.0,0
0.43762993812561035,14.0,42.0,0
0.7286689281463623,17.0,42.0,0
0.7839648723602295,18.0,42.0,0
1.1222589015960693,20.0,42.0,0
1.288804054260254,21.0,42.0,0
1.8483738899230957,22.0,42.0,0
2.0097649097442627,23.0,42.0,0
3.161036968231201,24.0,42.0,0
5.682497978210449,25.0,42.0,0
10.736881971359253,26.0,42.0,0
13.75863790512085,27.0,42.0,27
23.877201080322266,27.0,42.0,2018
30.05392289161682,28.0,42.0,2029
34.296591997146606,29.0,42.0,2038
39.07304000854492,30.0,42.0,2049
49.26550006866455,30.0,42.0,2061
59.48851299285889,30.0,42.0,2080
60.250492095947266,31.0,42.0,2083
71.29257988929749,31.0,42.0,2119
71.29426503181458,31.0,41.0,2122
81.90706586837769,31.0,41.0,2777
92.82580304145813,31.0,41.0,3570
96.31126403808594,32.0,41.0,3973
106.84975290298462,32.0,41.0,4835
117.18157005310059,32.0,41.0,6122
128.50337600708008,32.0,41.0,7801
140.31351590156555,32.0,41.0,9243
153.4897758960724,32.0,41.0,9279
168.10740995407104,32.0,41.0,9315
180.99348497390747,32.0,41.0,9449
183.6048560142517,33.0,41.0,9537
195.0342628955841,33.0,41.0,10562
207.04840397834778,33.0,41.0,12348
217.29105305671692,33.0,41.0,14050
227.40672898292542,33.0,41.0,15176
239.36222791671753,33.0,41.0,17245
253.03204798698425,33.0,41.0,19574
267.84063601493835,33.0,41.0,21763
267.8600769042969,34.0,41.0,22426
277.8943200111389,34.0,41.0,23205
289.2774279117584,34.0,41.0,24939
302.2558970451355,34.0,41.0,26710
315.4931950569153,34.0,41.0,28308
330.2760648727417,34.0,41.0,29989
346.51892590522766,34.0,41.0,31932
364.242733001709,34.0,41.0,34196
401.2598729133606,34.0,41.0,36403
411.41188788414,34.0,41.0,36416
421.8620960712433,34.0,41.0,36428
431.96466398239136,34.0,41.0,36437
433.45521998405457,35.0,41.0,36439
444.42790699005127,35.0,41.0,36450
454.8367688655853,35.0,41.0,36458
465.01867604255676,35.0,41.0,36465
476.1562399864197,35.0,41.0,36470
502.3903570175171,35.0,41.0,36478
512.9947190284729,35.0,41.0,36481
523.2134079933167,35.0,41.0,36492
533.324070930481,35.0,41.0,36499
544.260411977768,35.0,41.0,36506
555.5351400375366,35.0,41.0,36514
565.798966884613,35.0,41.0,36524
575.808758020401,35.0,41.0,36532
586.4673330783844,35.0,41.0,36540
596.8352088928223,35.0,41.0,36548
608.4971990585327,35.0,41.0,36554
619.4134109020233,35.0,41.0,36562
629.546765089035,35.0,41.0,36569
639.8526458740234,35.0,41.0,36576
650.3576829433441,35.0,41.0,36582
661.1577770709991,35.0,41.0,36590
671.2302060127258,35.0,41.0,36597
681.7493960857391,35.0,41.0,36606
693.4791979789734,35.0,41.0,36614
703.9567770957947,35.0,41.0,36622
714.2608120441437,35.0,41.0,36630
742.0858860015869,35.0,41.0,36632
752.1265048980713,35.0,41.0,36647
752.1326010227203,36.0,41.0,36656
763.8591718673706,36.0,41.0,36759
774.0638060569763,36.0,41.0,36963
784.1906819343567,36.0,41.0,37120
795.3277230262756,36.0,41.0,37291
809.3302309513092,36.0,41.0,37570
820.6183688640594,36.0,41.0,37856
831.6972658634186,36.0,41.0,38096
843.8077828884125,36.0,41.0,38426
856.056657075882,36.0,41.0,38815
868.8384740352631,36.0,41.0,39197
880.3310980796814,36.0,41.0,39396
894.961277961731,36.0,41.0,39838
910.5773599147797,36.0,41.0,40406
922.7383589744568,36.0,41.0,40774
934.6974229812622,36.0,41.0,41180
948.9942979812622,36.0,41.0,41649
964.7527189254761,36.0,41.0,42077
964.7576608657837,37.0,41.0,42209
978.8152709007263,37.0,41.0,42506
995.060683965683,37.0,41.0,43115
1013.2536680698395,37.0,41.0,43839
1023.7101879119873,37.0,41.0,44204
