time_s,LB,UB,nodes
0.2861921787261963,0.0,128.0,0
0.8306570053100586,1.0,128.0,0
5.907443046569824,1.0,8.0,0
9.87142014503479,4.0,8.0,0
12.46015214920044,5.0,8.0,0
22.482973098754883,5.0,8.0,0
35.69139313697815,5.0,8.0,0
46.173309087753296,5.0,8.0,0
57.10106015205383,5.0,8.0,0
70.85871696472168,5.0,8.0,0
80.8894419670105,5.0,8.0,0
92.2529239654541,5.0,8.0,0
108.24348711967468,5.0,8.0,0
123.9074821472168,5.0,8.0,0
136.56277298927307,6.0,8.0,3
156.84791803359985,6.0,8.0,15
168.1682071685791,6.0,8.0,27
168.179270029068,6.0,7.0,57
183.10579109191895,6.0,7.0,103
196.0159089565277,6.0,7.0,158
208.09398412704468,6.0,7.0,233
219.41211199760437,6.0,7.0,383
229.83959817886353,6.0,7.0,459
246.17839813232422,6.0,7.0,735
258.3501091003418,6.0,7.0,871
271.8426649570465,6.0,7.0,979
287.47073101997375,6.0,7.0,1091
298.7159399986267,6.0,7.0,1184
309.628662109375,6.0,7.0,1351
321.6161720752716,6.0,7.0,1618
325.15128455399827,7.0,7.0,1723
