time_s,LB,UB,nodes
0.07022905349731445,0.0,171.0,0
0.15213418006896973,2.0,171.0,0
2.3190770149230957,2.0,11.0,0
2.6508371829986572,4.0,11.0,0
6.297229051589966,5.0,11.0,0
7.3420569896698,6.0,11.0,0
9.991166114807129,7.0,11.0,0
20.453838109970093,7.0,11.0,115
30.763508081436157,7.0,11.0,1206
41.145201206207275,7.0,11.0,1696
51.62545418739319,7.0,11.0,1957
56.61938214302063,8.0,11.0,1962
66.94728517532349,9.0,11.0,1979
77.00922417640686,9.0,11.0,1994
87.12967419624329,9.0,11.0,2003
97.3713002204895,9.0,11.0,2011
108.26232099533081,9.0,11.0,2017
118.77489018440247,9.0,11.0,2026
128.97959518432617,9.0,11.0,2043
140.77151799201965,9.0,11.0,2053
150.80839705467224,9.0,11.0,2062
162.42736315727234,9.0,11.0,2073
172.7900722026825,9.0,11.0,2150
185.51664900779724,9.0,11.0,2328
195.8275511264801,9.0,11.0,2537
206.87607717514038,9.0,11.0,3071
218.01455211639404,9.0,11.0,4277
228.24374914169312,9.0,11.0,5272
239.25670504570007,9.0,11.0,7308
250.0128481388092,9.0,11.0,9121
261.759850025177,9.0,11.0,11002
274.60885405540466,9.0,11.0,12433
286.63789415359497,9.000000000000002,11.0,13164
294.1884491443634,10.0,11.0,14051
306.07646203041077,10.0,11.0,16248
316.4397671222687,10.0,11.0,18611
320.0740931034088,10.0,10.0,20334
320.25889990100404,10.0,10.0,20833
