instance,R,N_nodes,M_base,A_R,m,VI,candidatos,vars,cons,cut_strategy,source_pool_size,max_cutset_size,max_cuts_to_add,candidate_total,violated_total,selected_total,avg_violation_selected,avg_cutset_size_selected,root_lp_base,root_lp_with_cuts,root_lp_gain,status,solcount,LI,LS,gap,runtime_mip_s,runtime_total_s,nodes,timelimit
Barcelona_n930_m2522_st_25.txt,5,930,2522,32648,25,880,930,33578,2813,u2_violacao_diversidade,18,30,30,23,23,23,1.368695652173913,21.782608695652176,1.1200000000000003,4.1466666666666665,3.0266666666666664,2,10,16.0,16.0,0.0,162.57374424301088,190.75707960198633,2079,False
Barcelona_n930_m2522_st_50.txt,6,930,2522,48353,50,830,930,49283,2798,u2_violacao_diversidade,18,30,30,8,8,8,1.4475,19.25,0.4000000000000001,2.75,2.35,9,10,12.0,14.0,0.14285714285714285,3600.044496522052,3637.7217204860644,38220,True
Philadelphia_n800_m2404_st_25.txt,3,800,2404,9837,25,750,800,10637,2430,u2_violacao_diversidade,18,30,30,118,118,30,1.7786666666666666,20.833333333333332,2.320000000000001,9.405263157894723,7.085263157894722,9,10,42.0,46.0,0.08695652173913043,3600.0174606780056,3611.8000267270254,120863,True
hc10p.txt,150,1024,10240,10240,256,512,1024,11264,3102,u2_violacao_diversidade,18,30,30,153,153,30,1.9341145833333333,18.6,1.0,5.748697916666666,4.748697916666666,9,10,52.0,80.0,0.35,3600.0381185789593,3612.2454347989988,1825,True
hc11p.txt,150,2048,22528,22528,512,1024,2048,24576,6174,u2_violacao_diversidade,18,30,30,153,153,30,1.9630208333333334,20.533333333333335,1.0,5.62109375,4.62109375,9,10,87.0,166.0,0.4759036144578313,3600.0717855129624,3632.8830986350076,35,True
hc12p.txt,150,4096,49152,49152,1024,2048,4096,53248,12318,u2_violacao_diversidade,18,30,30,153,153,30,1.983984375,22.533333333333335,1.0,4.8046875,3.8046875,9,10,142.0,302.0,0.5298013245033113,3600.0656055619475,3695.5676468210295,1,True
hc9u.txt,1,512,4608,4608,128,256,512,5120,1566,u2_violacao_diversidade,18,30,30,153,153,30,1.8208333333333333,16.466666666666665,1.0,4.80859375,3.80859375,9,10,31.0,42.0,0.2619047619047619,3600.0114876909647,3604.9699091350194,29852,True
