instance,R,relax_mode,N_nodes,A_R,m,VI,LB_relax_linear_original,status_LP_original,runtime_LP_original_s,vars_LP_original,constrs_LP_original,max_iters,iters_executadas,melhor_LB_certificado,melhor_iter_certificado,q_melhor_centro,UB,gap_certificado_pct,melhoria_Bundle_menos_LP_abs,melhoria_Bundle_menos_LP_pct_sobre_LP,classificacao_Bundle_vs_LP_original,gap_LP_original_pct,reducao_gap_LP_menos_Bundle_pontos_pct,status_mip_ub,LB_mip_ub,runtime_mip_ub_s,solcount_mip_ub,runtime_total_s,mu_final,num_cortes_final,fluxo_inteiro,tiebreak,permitir_oraculo_inexato
bip42p.txt,200,all,1200,7964,100,1000,1.0000000000000007,OPTIMAL,0.7566408299899194,9164,3600,500,500,0.9590473506315308,500,0.9590473506315308,42.0,97.71655392706779,-0.04095264936846987,-4.095264936846985,LR_Bundle_pior_que_LP_original,97.61904761904762,-0.09750630802017213,UB_MANUAL,,0.0,1,3426.912286489998,158186.13943999988,200,False,True,False
cc10-2p.txt,500,all,1024,339124,67,890,0.14925373134328357,OPTIMAL,13.713695662998362,340148,3072,500,19,1.3552527156068805e-20,3,0.0,42.0,100.0,-0.14925373134328357,-100.0,LR_Bundle_pior_que_LP_original,99.64463397299217,-0.3553660270078325,UB_MANUAL,,0.0,1,373.1723024659732,524288.0,20,False,True,False
cc12-2p.txt,500,all,4096,2795100,236,3624,0.10593220338983055,OPTIMAL,219.9639368299977,2799196,12288,500,19,0.0,0,0.0,42.0,100.0,-0.10593220338983055,-99.99999999999999,LR_Bundle_pior_que_LP_original,99.74778046811946,-0.2522195318805416,UB_MANUAL,,0.0,1,3733.5246917059994,524288.0,20,False,True,False
cc12-2u.txt,2,all,4096,256874,236,3624,1.1355932203389805,OPTIMAL,15.82177002800745,260970,12288,500,59,0.8532625155884433,59,0.8527764840611156,42.0,97.96842258193229,-0.2823307047505371,-24.86195758251004,LR_Bundle_pior_que_LP_original,97.29620661824052,-0.6722159636917695,UB_MANUAL,,0.0,1,3639.1073771779775,282232.4472942805,60,False,True,False
hc10p.txt,150,all,1024,10240,256,512,1.0,OPTIMAL,0.7075085249962285,11264,3072,500,500,0.9999052109565422,493,0.9999052109565422,42.0,97.61927330724633,-9.478904345783246e-05,-0.009478904345783246,LR_Bundle_pior_que_LP_original,97.61904761904762,-0.00022568819871082724,UB_MANUAL,,0.0,1,3237.275622412999,1000000.0,200,False,True,False
hc11p.txt,150,all,2048,22528,512,1024,1.0,OPTIMAL,1.9253733369987458,24576,6144,500,283,0.9980728085140095,192,0.9980728085140095,42.0,97.62363617020475,-0.0019271914859905204,-0.19271914859905204,LR_Bundle_pior_que_LP_original,97.61904761904762,-0.004588551157127085,UB_MANUAL,,0.0,1,3606.9418356420065,1000000.0,200,False,True,False
hc12p.txt,150,all,4096,49152,1024,2048,1.0,OPTIMAL,5.88269114898867,53248,12288,500,163,0.9920604393657756,163,0.9920604393657756,42.0,97.63795133484341,-0.007939560634224407,-0.7939560634224407,LR_Bundle_pior_que_LP_original,97.61904761904762,-0.01890371579578698,UB_MANUAL,,0.0,1,3617.11085576599,700000.0,164,False,True,False
hc9u.txt,1,all,512,4608,128,256,1.0,OPTIMAL,0.3605742029903922,5120,1536,500,500,0.9958905101511064,500,0.9958770803106748,42.0,97.62883211868785,-0.004109489848893588,-0.4109489848893588,LR_Bundle_pior_que_LP_original,97.61904761904762,-0.00978449964023298,UB_MANUAL,,0.0,1,1488.14527421401,1000000.0,200,False,True,False
